,rowid,date_mutation,longitude,latitude
15079,32667,2020-02-03,3.054196,50.619443
15080,32669,2020-01-28,3.073005,50.618554
15081,32673,2020-01-29,3.059587,50.627517
15082,32675,2020-02-18,3.04776,50.630099
15083,32676,2020-02-10,3.089481,50.652476
15084,32678,2020-02-04,3.114637,50.634863
15085,32679,2020-02-04,3.114637,50.634863
15086,32682,2020-02-05,3.100511,50.634025
15087,32684,2020-02-07,3.060513,50.641258
15088,32685,2020-02-19,3.03893,50.622933
15089,32689,2020-02-03,3.028911,50.618142
15090,32690,2020-02-03,3.028911,50.618142
15091,32691,2020-02-19,3.062067,50.629919
15092,32694,2020-02-14,3.056803,50.633434
15093,32696,2020-02-05,3.054196,50.619443
15094,32699,2020-02-11,3.070995,50.633053
15095,32702,2020-02-10,3.063219,50.63854
15096,32703,2020-02-05,3.065157,50.634443
15097,32705,2020-01-30,3.087219,50.638175
15098,32706,2020-01-30,3.087219,50.638175
15099,32707,2020-01-30,3.087219,50.638175
15100,32708,2020-01-30,3.087219,50.638175
15101,32709,2020-02-20,3.067058,50.632064
15102,32711,2020-02-17,3.052827,50.629891
15103,32713,2020-02-12,3.055989,50.631781
15104,32714,2020-01-29,3.060842,50.618817
15105,32719,2020-02-21,3.058798,50.643927
15106,32721,2020-02-07,3.054749,50.641012
15107,32722,2020-02-07,3.08611,50.655701
15108,32723,2020-02-10,3.056034,50.630765
15109,32724,2020-02-10,3.056034,50.630765
15110,32726,2020-02-10,3.056034,50.630765
15111,32727,2020-02-10,3.056034,50.630765
15112,32728,2020-02-10,3.056034,50.630765
15113,32729,2020-02-10,3.056034,50.630765
15114,32730,2020-02-18,3.067464,50.637241
15115,32731,2020-02-13,3.052912,50.631733
15116,32733,2020-02-21,3.087801,50.643645
15117,32734,2020-01-31,3.045582,50.605684
15118,32740,2020-02-12,3.061723,50.638722
15119,32742,2020-02-25,3.116943,50.62645
15120,32743,2020-02-20,3.057617,50.620094
15121,32745,2020-02-13,3.05562,50.636005
15122,32752,2020-02-21,3.085735,50.630634
15123,32755,2020-02-21,3.105723,50.627778
15124,32757,2020-01-29,3.101001,50.624111
15125,32759,2020-02-20,3.039392,50.632858
15126,32760,2020-02-04,3.054738,50.627135
15127,32762,2020-02-18,3.063442,50.622615
15128,32764,2020-01-28,3.062145,50.62206
15129,32766,2020-02-13,3.062271,50.647323
15130,32771,2020-02-04,3.092144,50.644033
15131,32776,2020-02-12,3.071821,50.622802
15132,32780,2020-02-04,3.070333,50.620754
15133,32781,2020-02-03,3.055876,50.623872
15134,32784,2020-02-20,3.071474,50.618181
15135,32785,2020-02-12,3.064166,50.625715
15136,32787,2020-02-25,3.039323,50.612476
15137,32788,2020-02-25,3.070673,50.640099
15138,32792,2020-02-03,3.061941,50.629348
15139,32794,2020-02-05,3.084418,50.649584
15140,32795,2020-01-31,3.063887,50.633038
15141,32796,2020-02-24,3.092144,50.644033
15142,32800,2020-02-26,3.06549,50.612929
15143,32801,2020-02-14,3.055357,50.637598
15144,32803,2020-02-14,3.062191,50.624825
15145,32808,2020-02-20,3.064731,50.63066
15146,32814,2020-02-11,3.052226,50.621585
15147,32817,2020-02-13,3.071359,50.63331
15148,32818,2020-02-21,3.087943,50.64909
15149,32819,2020-02-10,3.025651,50.631416
