,rowid,longitude,latitude
832,8754,3.05583,50.6382
833,8760,3.074036,50.61029
834,8769,3.093319,50.633618
835,8771,3.061449,50.619673
836,8774,3.049472,50.62099
837,8818,3.119897,50.622805
838,8826,3.117443,50.629269
839,8832,3.111164,50.630472
840,8855,3.026493,50.632439
841,8858,3.087759,50.637912
842,8861,3.022257,50.629344
843,8862,3.093675,50.632445
844,8864,3.094692,50.621527
845,8882,3.090627,50.623643
846,8901,3.092521,50.636173
847,8917,3.110173,50.624874
848,8929,3.026991,50.631403
849,8941,3.100811,50.625567
850,8957,3.11995,50.622209
851,8959,3.084994,50.636885
852,8964,3.09046,50.62896
853,8971,3.091316,50.634373
854,8972,3.060298,50.618455
855,8973,3.097803,50.635466
856,8979,3.104946,50.630896
857,9053,3.055152,50.641734
858,9063,3.059317,50.620823
859,9075,3.084732,50.632738
860,9080,3.086072,50.648728
861,9082,3.050684,50.619798
862,9090,3.094768,50.623675
863,9094,3.049355,50.619881
864,9109,3.029302,50.631402
865,9119,3.064461,50.623517
866,9120,3.025995,50.632712
867,9124,3.090062,50.648144
868,9127,3.095576,50.647651
869,9131,3.033605,50.628003
870,9136,3.116321,50.632186
871,9177,3.047609,50.625613
872,9193,3.084433,50.637211
873,9225,3.070271,50.620941
874,9227,3.097524,50.624344
875,9234,3.100097,50.624345
876,9238,3.08354,50.643918
877,9243,3.068029,50.617973
878,9253,3.088212,50.641966
879,9279,3.031578,50.616212
880,9288,3.098406,50.622465
881,9289,3.062733,50.620029
882,9304,3.041621,50.630669
883,9327,3.061599,50.613003
884,9343,3.027729,50.617934
885,9363,3.087743,50.639171
886,9364,3.093304,50.633392
887,9365,3.09205,50.635156
888,9366,3.093193,50.622484
889,9367,3.093564,50.622142
890,9368,3.097548,50.631356
891,9377,3.060226,50.619093
892,9404,3.044721,50.610347
893,9465,3.089348,50.655244
894,9466,3.112983,50.627209
895,9470,3.090615,50.647358
896,9472,3.094461,50.633506
897,9480,3.045055,50.609073
898,9493,3.11191,50.634182
899,9494,3.088062,50.631788
900,9495,3.088013,50.631754
901,9525,3.093187,50.632585
902,9534,3.11782,50.629356
903,9568,3.063429,50.635033
904,9569,3.093101,50.634136
905,9581,3.090011,50.632029
906,9585,3.022741,50.628561
907,9587,3.091087,50.628681
908,9591,3.090087,50.629936
909,9624,3.070479,50.611712
910,9633,3.094601,50.640014
911,9646,3.114079,50.631687
912,9647,3.045313,50.61259
913,9649,3.093099,50.622811
914,9652,3.050998,50.627579
915,9653,3.060319,50.618798
916,9674,3.054754,50.641202
917,9704,3.036746,50.622449
918,9716,3.063244,50.61878
919,9723,3.068029,50.623355
920,9736,3.041783,50.622765
921,9747,3.046902,50.627105
922,9779,3.096372,50.623353
923,9782,3.09443,50.633008
924,9789,3.112872,50.634092
925,9801,3.04604,50.614076
926,9805,3.03992,50.612026
927,9855,3.093239,50.63286
928,9864,3.091202,50.632284
929,9875,3.068406,50.637043
930,9883,3.071957,50.618974
931,9896,3.042812,50.608749
932,9905,3.11954,50.621693
933,9923,3.117155,50.631016
934,9924,3.111302,50.627186
935,9925,3.096169,50.624889
936,9940,3.052042,50.614199
937,9942,3.098824,50.624983
938,9962,3.093191,50.623653
